optimal_clusters_res_1.3,level_1_annotation,level_2_annotation,level_3_annotation_abbr,level_3_annotation_full
0,Seed coat,oi1,oi1 flav synth,oi1 flavinol synthesizing (MYB11)
1,Seed coat,oi1,oi1 flav synth high PCD,"oi1 flavinol synthesizing high PCD (MYB11, SCOOP15, BAP1)"
2,Seed coat,oi1,oi1 flav synth,oi1 flavinol synthesizing (MYB11)
3,Seed coat,oi2,oi2 gen I,oi2 general (GLABRA2)
4,Seed coat,ii2,ii2 gen,ii2 general (DELTAVPE and STK)
5,Seed coat,ii1,ii1 endothel,ii1 endothelium (BAN and TT1)
6,Seed coat,ii1,ii1 endothel,ii1 endothelium (BAN and TT1)
7,Seed coat,ii1',ii1',ii1' (DELTAVPE and UMAMIT29)
8,Endosperm,PEN,PEN,PEN general (AGL62)
9,Seed coat,oi2,oi2 VLCFA synth,oi2 very long chain fatty acid-synthesizing (KCS6 and WRI4)
10,Seed coat,CZSC,CZSC fluid,CZSC fluid transport (ARR22 and AAP6)
11,Endosperm,MCE,MCE,MCE (ARF13)
12,Seed coat,oi1,oi1 flav synth s-phase,oi1 flavinol synthesizing  S-phase (MYB11 and BARD1)
13,Seed coat,oi1,oi1 flav synth,oi1 flavinol synthesizing (MYB11)
14,Seed coat,oi1,oi1 micr,oi1 micropylar (SWEET12)
26,Seed coat,CPT,CPT trans nuc,NUC transient nucellus (PLL24)
16,Seed coat,oi2,oi2 gen II,oi2 general (GLABRA2 and WRKY40)
17,Seed coat,CZSC,CZSC plac,"CZSC placentochalazal (ARR22, SWEET10, and UMAMIT14)"
18,Seed coat,oi1,oi1 flav synth,oi1 flavinol synthesizing (MYB11)
19,Seed coat,CPT,CPT pers nuc,CPT persistent nucellus (AGO3)
20,Seed coat,oi2,oi2 s-phase,oi2 S-phase (GLABRA2 and BARD1)
21,Seed coat,CZSC,CZSC plac distal ,CZSC placentochalazal distal (ARR22 and TET5)
22,Funiculus,FUN,FUN hil,FUN hilum (ADPG1)
23,Endosperm,CZE,CZE apical cyst,CZE apical cyst (ASK3)
24,Embryo,EMB,EMB,EMB (PDF1)
25,Seed coat,ii1,ii1 basal cont PS,ii1 basal (contains pigment strand) (BAN and SWEET4)
15,Seed coat,ii1,ii1 basal cont PS,ii1 basal (contains pigment strand) (BAN and SWEET4)
27,Funiculus,FUN,FUN epi,FUN epidermal (CER3)
28,Endosperm,PEN,PEN g2/m-phase,PEN G2/M-phase (AGL62 and TOPII) 
29,Ovule,OVL,OVL senes,OVL scenescing (BFN1)
30,Funiculus,FUN,FUN cc,FUN companion cells (SUC2)